Name,Code,Stock,capitalization
SK하이닉스,A000660,728002365,60132995349000.0
삼성바이오로직스,A207940,66165000,38905020000000.0
삼성전자우,A005935,822886700,35178406425000.0
NAVER,A035420,164263395,32442020512500.0
셀트리온,A068270,134706932,28625223050000.0
LG화학,A051910,70592343,24954393250500.0
LG생활건강,A051900,15618197,21787384815000.0
현대차,A005380,213668187,19572005929200.0
삼성SDI,A006400,68764530,19185303870000.0
삼성물산,A028260,189690043,18912097287100.0
SK텔레콤,A017670,80745711,17198836443000.0
카카오,A035720,86957175,16000120200000.0
현대모비스,A012330,95054694,15921661245000.0
한국전력,A015760,641964077,15310843236450.0
POSCO,A005490,87186835,15170509290000.0
신한지주,A055550,482432493,14472974790000.0
KB금융,A105560,415807920,14220630864000.0
엔씨소프트,A036570,21954022,13831033860000.0
셀트리온헬스케어,A091990,151062939,13051837929600.0
SK,A034730,70360297,12559313014500.0
삼성에스디에스,A018260,77377800,12303070200000.0
기아차,A000270,405363347,11593391724200.0
KT&G,A033780,137292497,11038316758800.0
LG,A003550,172557131,10750309261300.0
아모레퍼시픽,A090430,58458490,10025631035000.0
삼성생명,A032830,200000000,9860000000000.0
삼성화재,A000810,47374837,9072281285500.0
SK이노베이션,A096770,92465564,9024639046400.0
LG전자,A066570,163647814,8738793267600.0
삼성전기,A009150,74693696,8291000256000.0
하나금융지주,A086790,300242062,8121547777100.0
S-Oil,A010950,112582792,8049669628000.0
넷마블,A251270,85792029,7927183479600.0
롯데케미칼,A011170,34275419,7660556146500.0
고려아연,A010130,18870000,7453650000000.0
KT,A030200,261111808,6162238668800.0
우리금융지주,A316140,722267683,6016489799390.0
LG유플러스,A032640,436611361,5763269965200.0
한국조선해양,A009540,70773116,5470761866800.0
한진칼,A180640,59170458,5354926449000.0
KODEX 200,A069500,205750000,5333040000000.0
강원랜드,A035250,213940500,5284330350000.0
아모레G,A002790,82458180,4799066076000.0
오리온,A271560,39536132,4764103906000.0
한온시스템,A018880,533800000,4740144000000.0
코웨이,A021240,73799619,4413217216200.0
기업은행,A024110,577156979,4397936179980.0
에이치엘비,A028300,43235762,4250075404600.0
CJ제일제당,A097950,15054186,4124846964000.0
맥쿼리인프라,A088980,349044336,3961653213600.0
LG디스플레이,A034220,357815700,3882300345000.0
현대중공업지주,A267250,16286617,3786638452500.0
현대건설,A000720,111355765,3774960433500.0
현대글로비스,A086280,37500000,3686250000000.0
미래에셋대우,A006800,658316408,3541742275040.0
GS,A078930,92915378,3540075901800.0
CJ대한통운,A000120,22812344,3421851600000.0
삼성카드,A029780,115858891,3348321949900.0
이마트,A139480,27875819,3331160370500.0
KODEX 레버리지,A122630,323800000,3275237000000.0
LG이노텍,A011070,23667107,3218726552000.0
DB손해보험,A005830,70800000,3193080000000.0
포스코케미칼,A003670,60988220,3171387440000.0
에스원,A012750,37999178,3165331527400.0
유한양행,A000100,66856810,3125555867500.0
호텔신라,A008770,39248121,3069203062200.0
한미약품,A128940,11843029,3019972395000.0
롯데지주,A004990,104909237,3010895101900.0
TIGER 200,A102110,110850000,2876557500000.0
대림산업,A000210,34800000,2836200000000.0
GS리테일,A007070,77000000,2810500000000.0
BGF리테일,A282330,17283906,2739499101000.0
롯데쇼핑,A023530,28288755,2732693733000.0
한국금융지주,A071050,55725992,2646984620000.0
더존비즈온,A012510,29672700,2631968490000.0
삼성중공업,A010140,630000000,2630250000000.0
펄어비스,A263750,13079850,2625125895000.0
현대제철,A004020,133445785,2602192807500.0
