0,1,2,3
삼성전자,A005930,5969782,293116296200000.0
SK하이닉스,A000660,728002365,61880201025000.0
삼성전자우,A005935,822886700,34602385735000.0
삼성바이오로직스,A207940,66165000,31659952500000.0
NAVER,A035420,164263395,27514118662500.0
셀트리온,A068270,128346619,27016963299500.0
LG화학,A051910,70592343,22907215303500.0
현대차,A005380,213668187,20747180957700.0
LG생활건강,A051900,15618197,19600837235000.0
삼성SDI,A006400,68764530,17397426090000.0
현대모비스,A012330,95054694,16919735532000.0
삼성물산,A028260,189690043,16863444822700.0
SK텔레콤,A017670,80745711,15624295078500.0
엔씨소프트,A036570,21954022,14379884410000.0
POSCO,A005490,87186835,14342234357500.0
카카오,A035720,86874505,13726171790000.0
신한지주,A055550,482432493,13556353053300.0
KB금융,A105560,415807920,13513757400000.0
한국전력,A015760,641964077,12293612074550.0
기아차,A000270,405363347,12221704912050.0
삼성에스디에스,A018260,77377800,12109625700000.0
SK,A034730,70360297,12031610787000.0
LG,A003550,172557131,10646774982700.0
KT&G,A033780,137292497,10502876020500.0
아모레퍼시픽,A090430,58458490,10025631035000.0
SK이노베이션,A096770,92465564,9061625272000.0
LG전자,A066570,163647814,8869711518800.0
삼성생명,A032830,200000000,8840000000000.0
삼성화재,A000810,47374837,8314283893500.0
넷마블,A251270,85789284,8278665906000.0
S-Oil,A010950,112582792,7869537160800.0
삼성전기,A009150,74693696,7768144384000.0
고려아연,A010130,18870000,7368735000000.0
하나금융지주,A086790,300242062,7190797384900.0
KODEX 200,A069500,250650000,6253717500000.0
롯데케미칼,A011170,34275419,5998198325000.0
한국조선해양,A009540,70773116,5916632497600.0
KT,A030200,261111808,5653070643200.0
우리금융지주,A316140,722267683,5518125098120.0
LG유플러스,A032640,436611361,5261166900050.0
강원랜드,A035250,213940500,4984813650000.0
한진칼,A180640,59170458,4952567334600.0
아모레G,A002790,82458180,4939244982000.0
한온시스템,A018880,533800000,4910960000000.0
코웨이,A021240,73799619,4737935539800.0
오리온,A271560,39536132,4546655180000.0
기업은행,A024110,577156979,4334448912290.0
LG디스플레이,A034220,357815700,4043317410000.0
현대글로비스,A086280,37500000,3956250000000.0
맥쿼리인프라,A088980,349044336,3856939912800.0
현대중공업지주,A267250,16286617,3778495144000.0
GS,A078930,92915378,3665511662100.0
CJ제일제당,A097950,15054186,3590423361000.0
KODEX 레버리지,A122630,378400000,3553176000000.0
미래에셋대우,A006800,658316408,3370580008960.0
현대건설,A000720,111355765,3362944103000.0
