0,1,2,3,4,5,6
삼성전자,A005930,5969782000,285654068700000.0,15.109999656677246,778046,100
SK하이닉스,A000660,728002365,59623393693500.0,29.600000381469727,3657652,5000
삼성바이오로직스,A207940,66165000,40029825000000.0,197.25999450683594,165412,2500
NAVER,A035420,164263395,34988103135000.0,60.20000076293945,16481,100
삼성전자우,A005935,822886700,33697210365000.0,0.0,119467,100
셀트리온,A068270,134706932,29298757710000.0,98.37000274658203,134706,1000
LG화학,A051910,70592343,24460246849500.0,86.55999755859375,352961,5000
LG생활건강,A051900,15618197,23036840575000.0,33.58000183105469,78090,5000
삼성SDI,A006400,68764530,20801270325000.0,59.709999084472656,348472,5000
현대차,A005380,213668187,19721573660100.0,8.569999694824219,1157982,5000
카카오,A035720,87069642,19285925703000.0,0.0,43584,500
삼성물산,A028260,186887081,18483132310900.0,18.010000228881836,18688,100
SK텔레콤,A017670,80745711,16472125044000.0,18.510000228881836,44639,500
현대모비스,A012330,95054694,16396934715000.0,7.21999979019165,490969,5000
엔씨소프트,A036570,21954022,16355746390000.0,45.63999938964844,10977,500
POSCO,A005490,87186835,14647388280000.0,7.980000019073486,482403,5000
셀트리온헬스케어,A091990,151406332,14429023439600.0,221.11000061035156,151406,1000
신한지주,A055550,482432493,14159393669550.0,4.190000057220459,2412162,5000
한국전력,A015760,641964077,14123209694000.0,0.0,3209820,5000
삼성에스디에스,A018260,77377800,13541115000000.0,18.3799991607666,38688,500
KB금융,A105560,415807920,13077159084000.0,3.9600000381469727,2090557,5000
SK,A034730,70360297,12805574054000.0,17.989999771118164,15272,200
기아차,A000270,405363347,11796073397700.0,6.449999809265137,2139316,5000
LG,A003550,172557131,10784820687500.0,10.170000076293945,862785,5000
KT&G,A033780,137292497,10695085516300.0,10.3100004196167,954959,5000
아모레퍼시픽,A090430,58458490,9967172545000.0,49.27000045776367,29229,500
삼성화재,A000810,47374837,9309155470500.0,15.449999809265137,24802,500
삼성생명,A032830,200000000,9040000000000.0,9.239999771118164,100000,500
삼성전기,A009150,74693696,8925896672000.0,18.030000686645508,373468,5000
LG전자,A066570,163647814,8902441081600.0,314.45001220703125,818239,5000
SK이노베이션,A096770,92465564,8728749241600.0,0.0,462327,5000
넷마블,A251270,85792029,8055871523100.0,51.5,8579,100
하나금융지주,A086790,300242062,7611136271700.0,3.180000066757202,1501210,5000
S-Oil,A010950,112582792,7452980830400.0,118.0,281456,2500
고려아연,A010130,18870000,6953595000000.0,10.979999542236328,94350,5000
KT,A030200,261111808,6449461657600.0,10.40999984741211,1564498,5000
롯데케미칼,A011170,34275419,6358090224500.0,8.890000343322754,171377,5000
LG유플러스,A032640,436611361,6047067349850.0,13.779999732971191,2573969,5000
우리금융지주,A316140,722267683,5742028079850.0,2.940000057220459,3611338,5000
한국조선해양,A009540,70773116,5548612294400.0,33.81999969482422,353865,5000
오리온,A271560,39536132,5535058480000.0,25.670000076293945,19768,500
KODEX 200,A069500,196650000,4989993750000.0,0.0,0,0
강원랜드,A035250,213940500,4920631500000.0,14.699999809265137,106970,500
CJ제일제당,A097950,15054186,4644216381000.0,33.119998931884766,75270,5000
한온시스템,A018880,533800000,4644060000000.0,14.569999694824219,53380,100
기업은행,A024110,606536013,4579346898150.0,3.1500000953674316,3032680,5000
코웨이,A021240,73799619,4560816454200.0,13.6899995803833,40662,500
아모레G,A002790,82458180,4535199900000.0,36.709999084472656,41229,500
한진칼,A180640,59170458,4526540037000.0,0.0,147926,2500
에이치엘비,A028300,43235762,4271693285600.0,0.0,21617,500
맥쿼리인프라,A088980,349044336,3961653213600.0,0.0,1815614,0
현대중공업지주,A267250,16286617,3876214846000.0,22.3700008392334,81433,5000
롯데지주,A004990,104909237,3802959841250.0,0.0,20981,200
현대글로비스,A086280,37500000,3705000000000.0,7.369999885559082,18750,500
LG디스플레이,A034220,357815700,3631829355000.0,0.0,1789078,5000
현대건설,A000720,111355765,3630197939000.0,8.90999984741211,556778,5000
DB손해보험,A005830,70800000,3603720000000.0,9.539999961853027,35400,500
미래에셋대우,A006800,658316408,3515409618720.0,6.579999923706055,3331582,5000
에스원,A012750,37999178,3473124869200.0,23.68000030517578,18999,500
LG이노텍,A011070,23667107,3455397622000.0,33.77000045776367,118335,5000
유한양행,A000100,66856810,3449811396000.0,87.75,66856,1000
GS,A078930,92915378,3433223217100.0,6.429999828338623,464576,5000
삼성카드,A029780,115858891,3412044339950.0,9.90999984741211,614794,5000
CJ대한통운,A000120,22812344,3387633084000.0,85.29000091552734,114061,5000
포스코케미칼,A003670,60988220,3287265058000.0,32.22999954223633,30494,500
GS리테일,A007070,77000000,3272500000000.0,24.579999923706055,77000,1000
셀트리온제약,A068760,35795711,3142863425800.0,365.8299865722656,17897,500
이마트,A139480,27875819,3122091728000.0,13.34000015258789,139379,5000
호텔신라,A008770,39248121,3120225619500.0,18.729999542236328,196240,5000
씨젠,A096530,26234020,3106107968000.0,116.41999816894531,13117,500
더존비즈온,A012510,29672700,3085960800000.0,62.310001373291016,14836,500
KODEX 레버리지,A122630,305600000,3062112000000.0,0.0,0,0
한미약품,A128940,11843029,2901542105000.0,55.68000030517578,29607,2500
대림산업,A000210,34800000,2797920000000.0,4.659999847412109,197500,5000
BGF리테일,A282330,17283906,2730857148000.0,18.040000915527344,17283,1000
펄어비스,A263750,13079850,2697065070000.0,17.010000228881836,6539,500
TIGER 200,A102110,105750000,2683406250000.0,0.0,0,0
삼성중공업,A010140,630000000,2589300000000.0,0.0,3150000,5000
현대제철,A004020,133445785,2582175939750.0,151.1699981689453,667228,5000
쌍용양회,A003410,503859595,2569683934500.0,19.690000534057617,503859,1000
알테오젠,A196170,13995950,2552861280000.0,0.0,6997,500
NH투자증권,A005940,281408887,2538308160740.0,5.690000057220459,1431920,5000
한국타이어앤테크놀로지,A161390,123875069,2533245161050.0,6.03000020980835,61937,500
한국금융지주,A071050,55725992,2529960036800.0,3.299999952316284,278629,5000
하이트진로,A000080,70133611,2524809996000.0,0.0,363168,5000
CJ ENM,A035760,21929154,2502116471400.0,24.0,110577,5000
한국가스공사,A036460,92313000,2487835350000.0,64.16000366210938,461565,5000
롯데쇼핑,A023530,28288755,2463950560500.0,0.0,141443,5000
한화솔루션,A009830,161479290,2454485208000.0,0.0,815551,5000
삼성증권,A016360,89300000,2433425000000.0,6.210000038146973,458478,5000
현대해상,A001450,89400000,2386980000000.0,8.859999656677246,44700,500
CJ,A001040,29176998,2334159840000.0,9.470000267028809,146613,5000
신세계,A004170,9845181,2298849763500.0,4.360000133514404,49225,5000
케이엠더블유,A032500,39820883,2293682860800.0,24.31999969482422,19910,500
두산밥캣,A241560,100249166,2285680984800.0,8.399999618530273,50124,500
한국항공우주,A047810,97475107,2276043748450.0,13.350000381469727,487375,5000
KODEX 200선물인버스2X,A252670,323800000,2188888000000.0,0.0,0,0
금호석유,A011780,30467691,2172346368300.0,8.100000381469727,152338,5000
스튜디오드래곤,A253450,28096370,2132514483000.0,80.6500015258789,14048,500
삼성엔지니어링,A028050,196000000,2126600000000.0,7.260000228881836,980000,5000
오뚜기,A007310,3605237,2123484593000.0,21.920000076293945,18026,5000
현대차2우B,A005387,36485451,2057779436400.0,0.0,193069,5000
한샘,A009240,23533928,2047451736000.0,47.93000030517578,23533,1000
메리츠증권,A008560,617310701,2027865652785.0,4.159999847412109,617310,1000
농심,A004370,6082642,1976858650000.0,27.84000015258789,30413,5000
일진머티리얼즈,A020150,46110835,1975849279750.0,42.16999816894531,23055,500
